iter	Passed	Remaining
0	154	154733
1	165	82829
2	176	58741
3	188	47037
4	202	40258
5	214	35564
6	228	32389
7	240	29850
8	252	27848
9	264	26202
10	277	24988
11	290	23917
12	298	22691
13	306	21594
14	315	20692
15	323	19877
16	331	19182
17	340	18568
18	347	17961
19	355	17427
20	364	17003
21	372	16579
22	380	16174
23	388	15799
24	398	15543
25	407	15258
26	415	14965
27	423	14699
28	431	14445
29	439	14197
30	447	13979
31	454	13763
32	462	13564
33	471	13397
34	479	13219
35	487	13055
36	495	12891
37	503	12739
38	511	12602
39	519	12466
40	529	12383
41	538	12281
42	547	12195
43	556	12087
44	563	11966
45	571	11856
46	580	11768
47	588	11673
48	597	11586
49	604	11494
50	612	11405
51	620	11316
52	628	11227
53	636	11155
54	645	11085
55	653	11016
56	663	10972
57	672	10929
58	681	10862
59	689	10804
60	698	10753
61	707	10696
62	715	10637
63	723	10576
64	733	10554
65	743	10516
66	752	10480
67	760	10427
68	768	10374
69	776	10318
70	784	10270
71	794	10234
72	802	10188
73	810	10143
74	818	10092
75	826	10045
76	833	9995
77	842	9955
78	849	9909
79	861	9912
80	877	9951
81	892	9992
82	902	9976
83	913	9963
84	926	9971
85	940	9997
86	971	10190
87	992	10289
88	1005	10290
89	1015	10269
90	1025	10241
91	1036	10228
92	1051	10250
93	1066	10280
94	1085	10342
95	1104	10396
96	1117	10398
97	1132	10419
98	1144	10419
99	1157	10417
100	1168	10401
101	1180	10394
102	1192	10388
103	1202	10361
104	1212	10336
105	1221	10299
106	1231	10278
107	1240	10248
108	1250	10220
109	1261	10205
110	1272	10191
111	1282	10166
112	1291	10136
113	1302	10122
114	1311	10091
115	1320	10064
116	1330	10040
117	1339	10012
118	1349	9988
119	1358	9962
120	1367	9934
121	1377	9910
122	1386	9884
123	1396	9867
124	1407	9849
125	1416	9828
126	1426	9806
127	1434	9774
128	1444	9750
129	1452	9722
130	1462	9698
131	1471	9675
132	1480	9651
133	1489	9625
134	1499	9606
135	1507	9578
136	1516	9554
137	1525	9529
138	1534	9502
139	1542	9473
140	1552	9456
141	1561	9432
142	1570	9413
143	1579	9391
144	1588	9364
145	1596	9339
146	1605	9314
147	1614	9291
148	1622	9264
149	1631	9246
150	1640	9221
151	1648	9199
152	1658	9183
153	1667	9159
154	1678	9152
155	1688	9134
156	1699	9126
